rps_scenario_id,load_zone,year,rps_target
6,AZ_PHX,2041,0.15
6,AZ_PHX,2042,0.15
6,AZ_PHX,2043,0.15
6,AZ_PHX,2044,0.15
6,AZ_PHX,2045,0.15
6,AZ_PHX,2046,0.15
6,AZ_PHX,2047,0.15
6,AZ_PHX,2048,0.15
6,AZ_PHX,2049,0.15
6,AZ_PHX,2050,0.15
6,AZ_PHX,2051,0.15
6,AZ_PHX,2052,0.15
6,AZ_PHX,2053,0.15
6,AZ_PHX,2054,0.15
6,AZ_PHX,2055,0.15
6,AZ_PHX,2056,0.15
6,AZ_PHX,2057,0.15
6,AZ_PHX,2058,0.15
6,AZ_PHX,2059,0.15
6,AZ_PHX,2060,0.15
6,AZ_PHX,2061,0.15
6,AZ_PHX,2062,0.15
6,AZ_PHX,2063,0.15
6,AZ_PHX,2064,0.15
6,AZ_PHX,2065,0.15
6,AZ_PHX,2066,0.15
6,AZ_PHX,2067,0.15
6,AZ_PHX,2068,0.15
6,AZ_PHX,2069,0.15
6,AZ_PHX,2070,0.15
6,AZ_PHX,2071,0.15
6,AZ_PHX,2072,0.15
6,AZ_PHX,2073,0.15
6,AZ_PHX,2074,0.15
6,AZ_PHX,2075,0.15
6,AZ_PHX,2076,0.15
6,AZ_PHX,2077,0.15
6,AZ_PHX,2078,0.15
6,AZ_PHX,2079,0.15
6,AZ_PHX,2080,0.15
6,AZ_SE,2010,0.025
6,AZ_SE,2011,0.03
6,AZ_SE,2012,0.035
6,AZ_SE,2013,0.04
6,AZ_SE,2014,0.045
6,AZ_SE,2015,0.05
6,AZ_SE,2016,0.06
6,AZ_SE,2017,0.07
6,AZ_SE,2018,0.08
6,AZ_SE,2019,0.09
6,AZ_SE,2020,0.1
6,AZ_SE,2021,0.11
6,AZ_SE,2022,0.12
6,AZ_SE,2023,0.13
6,AZ_SE,2024,0.14
6,AZ_SE,2025,0.15
6,AZ_SE,2026,0.15
6,AZ_SE,2027,0.15
6,AZ_SE,2028,0.15
6,AZ_SE,2029,0.15
6,AZ_SE,2030,0.15
6,AZ_SE,2031,0.15
6,AZ_SE,2032,0.15
6,AZ_SE,2033,0.15
6,AZ_SE,2034,0.15
6,AZ_SE,2035,0.15
6,AZ_SE,2036,0.15
6,AZ_SE,2037,0.15
6,AZ_SE,2038,0.15
6,AZ_SE,2039,0.15
6,AZ_SE,2040,0.15
6,AZ_SE,2041,0.15
6,AZ_SE,2042,0.15
6,AZ_SE,2043,0.15
6,AZ_SE,2044,0.15
6,AZ_SE,2045,0.15
6,AZ_SE,2046,0.15
6,AZ_SE,2047,0.15
6,AZ_SE,2048,0.15
6,AZ_SE,2049,0.15
6,AZ_SE,2050,0.15
6,AZ_SE,2051,0.15
6,AZ_SE,2052,0.15
6,AZ_SE,2053,0.15
6,AZ_SE,2054,0.15
6,AZ_SE,2055,0.15
6,AZ_SE,2056,0.15
6,AZ_SE,2057,0.15
6,AZ_SE,2058,0.15
6,AZ_SE,2059,0.15
6,AZ_SE,2060,0.15
6,AZ_SE,2061,0.15
6,AZ_SE,2062,0.15
6,AZ_SE,2063,0.15
6,AZ_SE,2064,0.15
6,AZ_SE,2065,0.15
6,AZ_SE,2066,0.15
6,AZ_SE,2067,0.15
6,AZ_SE,2068,0.15
6,AZ_SE,2069,0.15
6,AZ_SE,2070,0.15
6,AZ_SE,2071,0.15
6,AZ_SE,2072,0.15
6,AZ_SE,2073,0.15
6,AZ_SE,2074,0.15
6,AZ_SE,2075,0.15
6,AZ_SE,2076,0.15
6,AZ_SE,2077,0.15
6,AZ_SE,2078,0.15
6,AZ_SE,2079,0.15
6,AZ_SE,2080,0.15
6,CA_IID,2010,0.2
6,CA_IID,2011,0.2
6,CA_IID,2012,0.2
6,CA_IID,2013,0.2
6,CA_IID,2014,0.216667
6,CA_IID,2015,0.233333
6,CA_IID,2016,0.25
6,CA_IID,2017,0.27
6,CA_IID,2018,0.29
6,CA_IID,2019,0.31
6,CA_IID,2020,0.33
6,CA_IID,2021,0.347
6,CA_IID,2022,0.364
6,CA_IID,2023,0.381
6,CA_IID,2024,0.44
6,CA_IID,2025,0.47
6,CA_IID,2026,0.5
6,CA_IID,2027,0.52
6,CA_IID,2028,0.55
6,CA_IID,2029,0.57
6,CA_IID,2030,0.6
6,CA_IID,2031,0.6
6,CA_IID,2032,0.6
6,CA_IID,2033,0.6
6,CA_IID,2034,0.6
6,CA_IID,2035,0.6
6,CA_IID,2036,0.6
6,CA_IID,2037,0.6
6,CA_IID,2038,0.6
6,CA_IID,2039,0.6
6,CA_IID,2040,0.6
6,CA_IID,2041,0.6
6,CA_IID,2042,0.6
6,CA_IID,2043,0.6
6,CA_IID,2044,0.6
6,CA_IID,2045,0.6
6,CA_IID,2046,0.6
6,CA_IID,2047,0.6
6,CA_IID,2048,0.6
6,CA_IID,2049,0.6
6,CA_IID,2050,0.6
6,CA_IID,2051,0.6
6,CA_IID,2052,0.6
6,CA_IID,2053,0.6
6,CA_IID,2054,0.6
6,CA_IID,2055,0.6
6,CA_IID,2056,0.6
6,CA_IID,2057,0.6
6,CA_IID,2058,0.6
6,CA_IID,2059,0.6
6,CA_IID,2060,0.6
6,CA_IID,2061,0.6
6,CA_IID,2062,0.6
6,CA_IID,2063,0.6
6,CA_IID,2064,0.6
6,CA_IID,2065,0.6
6,CA_IID,2066,0.6
6,CA_IID,2067,0.6
6,CA_IID,2068,0.6
6,CA_IID,2069,0.6
6,CA_IID,2070,0.6
6,CA_IID,2071,0.6
6,CA_IID,2072,0.6
6,CA_IID,2073,0.6
6,CA_IID,2074,0.6
6,CA_IID,2075,0.6
6,CA_IID,2076,0.6
6,CA_IID,2077,0.6
6,CA_IID,2078,0.6
6,CA_IID,2079,0.6
6,CA_IID,2080,0.6
6,CA_LADWP,2010,0.2
6,CA_LADWP,2011,0.2
6,CA_LADWP,2012,0.2
6,CA_LADWP,2013,0.2
6,CA_LADWP,2014,0.216667
6,CA_LADWP,2015,0.233333
6,CA_LADWP,2016,0.25
6,CA_LADWP,2017,0.27
6,CA_LADWP,2018,0.29
6,CA_LADWP,2019,0.31
6,CA_LADWP,2020,0.33
6,CA_LADWP,2021,0.347
6,CA_LADWP,2022,0.364
6,CA_LADWP,2023,0.381
6,CA_LADWP,2024,0.44
6,CA_LADWP,2025,0.47
6,CA_LADWP,2026,0.5
6,CA_LADWP,2027,0.52
6,CA_LADWP,2028,0.55
6,CA_LADWP,2029,0.57
6,CA_LADWP,2030,0.6
6,CA_LADWP,2031,0.6
6,CA_LADWP,2032,0.6
6,CA_LADWP,2033,0.6
6,CA_LADWP,2034,0.6
6,CA_LADWP,2035,0.6
6,CA_LADWP,2036,0.6
6,CA_LADWP,2037,0.6
6,CA_LADWP,2038,0.6
6,CA_LADWP,2039,0.6
6,CA_LADWP,2040,0.6
6,CA_LADWP,2041,0.6
6,CA_LADWP,2042,0.6
6,CA_LADWP,2043,0.6
6,CA_LADWP,2044,0.6
6,CA_LADWP,2045,0.6
6,CA_LADWP,2046,0.6
