PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_CentralTrackingPV_177_na	.	CentralTrackingPV	Oahu	18121.55594	9.681817947	.
Oahu_CentralTrackingPV_178_na	.	CentralTrackingPV	Oahu	17802.82396	0.7938	.
Oahu_CentralTrackingPV_179_na	.	CentralTrackingPV	Oahu	17859.68876	0.04116	.
Oahu_CentralTrackingPV_17_na	.	CentralTrackingPV	Oahu	31207.67519	29.1126982	.
Oahu_CentralTrackingPV_180_na	.	CentralTrackingPV	Oahu	17972.00993	0.00588	.
Oahu_CentralTrackingPV_181_na	.	CentralTrackingPV	Oahu	18354.77115	0.01176	.
Oahu_CentralTrackingPV_182_na	.	CentralTrackingPV	Oahu	20627.45201	0.651166664	.
Oahu_CentralTrackingPV_183_na	.	CentralTrackingPV	Oahu	21148.78398	15.6013943	.
Oahu_CentralTrackingPV_184_na	.	CentralTrackingPV	Oahu	21697.01405	10.06084246	.
Oahu_CentralTrackingPV_185_na	.	CentralTrackingPV	Oahu	24183.75789	0.960219384	.
Oahu_CentralTrackingPV_186_na	.	CentralTrackingPV	Oahu	24861.47597	14.12978254	.
Oahu_CentralTrackingPV_187_na	.	CentralTrackingPV	Oahu	25559.20617	37.82651042	.
Oahu_CentralTrackingPV_188_na	.	CentralTrackingPV	Oahu	26283.49998	31.13877955	.
Oahu_CentralTrackingPV_189_na	.	CentralTrackingPV	Oahu	27016.78398	31.02552019	.
Oahu_CentralTrackingPV_18_na	.	CentralTrackingPV	Oahu	31519.34686	40.32014061	.
Oahu_CentralTrackingPV_190_na	.	CentralTrackingPV	Oahu	27765.66354	53.09244242	.
Oahu_CentralTrackingPV_191_na	.	CentralTrackingPV	Oahu	28537.56372	19.48274875	.
Oahu_CentralTrackingPV_192_na	.	CentralTrackingPV	Oahu	29314.19874	39.58424205	.
Oahu_CentralTrackingPV_193_na	.	CentralTrackingPV	Oahu	30103.04273	32.76982058	.
Oahu_CentralTrackingPV_194_na	.	CentralTrackingPV	Oahu	30912.21165	54.26605844	.
Oahu_CentralTrackingPV_195_na	.	CentralTrackingPV	Oahu	31722.86319	40.9922556	.
Oahu_CentralTrackingPV_196_na	.	CentralTrackingPV	Oahu	32543.14853	21.83438716	.
Oahu_CentralTrackingPV_197_na	.	CentralTrackingPV	Oahu	17647.93353	2.545524512	.
Oahu_CentralTrackingPV_198_na	.	CentralTrackingPV	Oahu	17368.64811	9.274009476	.
Oahu_CentralTrackingPV_199_na	.	CentralTrackingPV	Oahu	17144.99769	16.9487427	.
Oahu_CentralTrackingPV_19_na	.	CentralTrackingPV	Oahu	31862.40808	1.476491073	.
