timepoint_label	lz_demand_mw_as_consumption	DumpPower	LZ_NetDispatch
2007-03-12-18:00	-1177.03	0.0	1177.0299999999993
2007-03-12-19:00	-1149.5	5.6843418860808e-14	1149.4999999999995
2007-03-12-20:00	-1082.52	5.6843418860808e-14	1082.5199999999995
2007-03-12-21:00	-990.45	-1.70530256582424e-13	990.4500000000003
2007-03-12-22:00	-867.08	2.27373675443232e-13	867.0799999999995
2007-03-12-23:00	-767.44	0.0	767.4399999999998
2007-04-09-00:00	-668.6	0.0	668.5999999999998
2007-04-09-01:00	-638.85	-5.6843418860808e-14	638.8499999999998
2007-04-09-02:00	-627.67	-5.6843418860808e-14	627.6699999999998
2007-04-09-03:00	-637.85	-5.6843418860808e-14	637.8499999999998
2007-04-09-04:00	-696.78	0.0	696.7799999999997
2007-04-09-05:00	-820.31	0.0	820.3099999999997
2007-04-09-06:00	-938.29	-1.70530256582424e-13	938.2899999999997
2007-04-09-07:00	-999.88	1.70530256582424e-13	999.8799999999994
2007-04-09-08:00	-1051.6	1.13686837721616e-13	1051.5999999999995
2007-04-09-09:00	-1084.13	4.2632564145606e-14	1084.1299999999994
2007-04-09-10:00	-1112.65	1.13686837721616e-13	1112.6499999999994
2007-04-09-11:00	-1122.6	1.4210854715202e-13	1122.5999999999995
2007-04-09-12:00	-1133.93	1.70530256582424e-13	1133.9299999999994
2007-04-09-13:00	-1133.97	1.70530256582424e-13	1133.9699999999993
2007-04-09-14:00	-1131.2	1.70530256582424e-13	1131.1999999999994
2007-04-09-15:00	-1123.79	1.4210854715202e-13	1123.7899999999993
2007-04-09-16:00	-1108.94	1.13686837721616e-13	1108.9399999999994
2007-04-09-17:00	-1099.34	1.13686837721616e-13	1099.3399999999995
2007-04-09-18:00	-1141.84	1.70530256582424e-13	1141.8399999999995
2007-04-09-19:00	-1142.05	1.70530256582424e-13	1142.0499999999995
2007-04-09-20:00	-1076.72	1.70530256582424e-13	1076.7199999999993
2007-04-09-21:00	-973.17	1.70530256582424e-13	973.1699999999994
2007-04-09-22:00	-845.48	5.6843418860808e-14	845.4799999999998
2007-04-09-23:00	-748.8	0.0	748.7999999999997
2007-04-10-00:00	-695.49	0.0	695.4899999999998
2007-04-10-01:00	-662.45	-2.8421709430404e-14	662.4499999999998
2007-04-10-02:00	-648.21	-2.8421709430404e-14	648.2099999999992
2007-04-10-03:00	-655.63	-5.6843418860808e-14	655.6299999999999
2007-04-10-04:00	-713.84	1.70530256582424e-13	713.8399999999997
2007-04-10-05:00	-845.54	5.6843418860808e-14	845.5399999999997
2007-04-10-06:00	-956.04	0.0	956.0399999999993
2007-04-10-07:00	-997.92	1.70530256582424e-13	997.9199999999994
2007-04-10-08:00	-1057.04	2.27373675443232e-13	1057.0399999999993
2007-04-10-09:00	-1091.46	2.27373675443232e-13	1091.4599999999994
2007-04-10-10:00	-1116.53	1.13686837721616e-13	1116.5299999999993
2007-04-10-11:00	-1121.53	1.4210854715202e-13	1121.5299999999993
2007-04-10-12:00	-1134.6	1.70530256582424e-13	1134.5999999999995
2007-04-10-13:00	-1131.82	1.70530256582424e-13	1131.8199999999995
2007-04-10-14:00	-1125.48	1.70530256582424e-13	1125.4799999999993
2007-04-10-15:00	-1110.62	5.6843418860808e-14	1110.6199999999994
