GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Oahu_OnshoreWind_OnWind_501	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_502	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_502	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_503	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_503	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_504	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_504	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_505	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_505	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_506	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_506	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_507	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_507	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_508	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_508	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_509	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_509	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_Kahuku	2011	0.0	0.0
Oahu_OnshoreWind_OnWind_Kahuku	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_Kahuku	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_Kawailoa	2012	0.0	0.0
Oahu_OnshoreWind_OnWind_Kawailoa	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_Kawailoa	2037	2111584.91729	27400.0
Oahu_Waiau_10	1973	0.0	0.0
Oahu_Waiau_3	1947	0.0	0.0
Oahu_Waiau_4	1950	0.0	0.0
Oahu_Waiau_5	1959	0.0	0.0
Oahu_Waiau_6	1961	0.0	0.0
Oahu_Waiau_7	1966	0.0	0.0
Oahu_Waiau_8	1968	0.0	0.0
Oahu_Waiau_9	1973	0.0	0.0
